day,category,channel,device,revenue_krw
2026-06-01,ct0,ch00,dv0,100
2026-07-01,ct1,ch00,dv0,101
2026-06-01,ct2,ch00,dv0,102
2026-07-01,ct3,ch00,dv0,103
2026-06-01,ct4,ch00,dv0,104
2026-07-01,ct0,ch00,dv1,105
2026-06-01,ct1,ch00,dv1,106
2026-07-01,ct2,ch00,dv1,100
2026-06-01,ct3,ch00,dv1,101
2026-07-01,ct4,ch00,dv1,102
2026-06-01,ct0,ch00,dv2,103
2026-07-01,ct1,ch00,dv2,104
2026-06-01,ct2,ch00,dv2,105
2026-07-01,ct3,ch00,dv2,106
2026-06-01,ct4,ch00,dv2,100
2026-07-01,ct0,ch00,dv3,101
2026-06-01,ct1,ch00,dv3,102
2026-07-01,ct2,ch00,dv3,103
2026-06-01,ct3,ch00,dv3,104
2026-07-01,ct4,ch00,dv3,105
2026-06-01,ct0,ch00,dv4,106
2026-07-01,ct1,ch00,dv4,100
2026-06-01,ct2,ch00,dv4,101
2026-07-01,ct3,ch00,dv4,102
2026-06-01,ct4,ch00,dv4,103
2026-07-01,ct0,ch00,dv5,104
2026-06-01,ct1,ch00,dv5,105
2026-07-01,ct2,ch00,dv5,106
2026-06-01,ct3,ch00,dv5,100
2026-07-01,ct4,ch00,dv5,101
2026-06-01,ct0,ch00,dv6,102
2026-07-01,ct1,ch00,dv6,103
2026-06-01,ct2,ch00,dv6,104
2026-07-01,ct3,ch00,dv6,105
2026-06-01,ct4,ch00,dv6,106
2026-07-01,ct0,ch00,dv7,100
2026-06-01,ct1,ch00,dv7,101
2026-07-01,ct2,ch00,dv7,102
2026-06-01,ct3,ch00,dv7,103
2026-07-01,ct4,ch00,dv7,104
2026-06-01,ct0,ch01,dv0,105
2026-07-01,ct1,ch01,dv0,106
2026-06-01,ct2,ch01,dv0,100
2026-07-01,ct3,ch01,dv0,101
2026-06-01,ct4,ch01,dv0,102
2026-07-01,ct0,ch01,dv1,103
2026-06-01,ct1,ch01,dv1,104
2026-07-01,ct2,ch01,dv1,105
2026-06-01,ct3,ch01,dv1,106
2026-07-01,ct4,ch01,dv1,100
2026-06-01,ct0,ch01,dv2,101
2026-07-01,ct1,ch01,dv2,102
2026-06-01,ct2,ch01,dv2,103
2026-07-01,ct3,ch01,dv2,104
2026-06-01,ct4,ch01,dv2,105
2026-07-01,ct0,ch01,dv3,106
2026-06-01,ct1,ch01,dv3,100
2026-07-01,ct2,ch01,dv3,101
2026-06-01,ct3,ch01,dv3,102
2026-07-01,ct4,ch01,dv3,103
2026-06-01,ct0,ch01,dv4,104
2026-07-01,ct1,ch01,dv4,105
2026-06-01,ct2,ch01,dv4,106
2026-07-01,ct3,ch01,dv4,100
2026-06-01,ct4,ch01,dv4,101
2026-07-01,ct0,ch01,dv5,102
2026-06-01,ct1,ch01,dv5,103
2026-07-01,ct2,ch01,dv5,104
2026-06-01,ct3,ch01,dv5,105
2026-07-01,ct4,ch01,dv5,106
2026-06-01,ct0,ch01,dv6,100
2026-07-01,ct1,ch01,dv6,101
2026-06-01,ct2,ch01,dv6,102
2026-07-01,ct3,ch01,dv6,103
2026-06-01,ct4,ch01,dv6,104
2026-07-01,ct0,ch01,dv7,105
2026-06-01,ct1,ch01,dv7,106
2026-07-01,ct2,ch01,dv7,100
2026-06-01,ct3,ch01,dv7,101
2026-07-01,ct4,ch01,dv7,102
2026-06-01,ct0,ch02,dv0,103
2026-07-01,ct1,ch02,dv0,104
2026-06-01,ct2,ch02,dv0,105
2026-07-01,ct3,ch02,dv0,106
2026-06-01,ct4,ch02,dv0,100
2026-07-01,ct0,ch02,dv1,101
2026-06-01,ct1,ch02,dv1,102
2026-07-01,ct2,ch02,dv1,103
2026-06-01,ct3,ch02,dv1,104
2026-07-01,ct4,ch02,dv1,105
2026-06-01,ct0,ch02,dv2,106
2026-07-01,ct1,ch02,dv2,100
2026-06-01,ct2,ch02,dv2,101
2026-07-01,ct3,ch02,dv2,102
2026-06-01,ct4,ch02,dv2,103
2026-07-01,ct0,ch02,dv3,104
2026-06-01,ct1,ch02,dv3,105
2026-07-01,ct2,ch02,dv3,106
2026-06-01,ct3,ch02,dv3,100
2026-07-01,ct4,ch02,dv3,101
2026-06-01,ct0,ch02,dv4,102
2026-07-01,ct1,ch02,dv4,103
2026-06-01,ct2,ch02,dv4,104
2026-07-01,ct3,ch02,dv4,105
2026-06-01,ct4,ch02,dv4,106
2026-07-01,ct0,ch02,dv5,100
2026-06-01,ct1,ch02,dv5,101
2026-07-01,ct2,ch02,dv5,102
2026-06-01,ct3,ch02,dv5,103
2026-07-01,ct4,ch02,dv5,104
2026-06-01,ct0,ch02,dv6,105
2026-07-01,ct1,ch02,dv6,106
2026-06-01,ct2,ch02,dv6,100
2026-07-01,ct3,ch02,dv6,101
2026-06-01,ct4,ch02,dv6,102
2026-07-01,ct0,ch02,dv7,103
2026-06-01,ct1,ch02,dv7,104
2026-07-01,ct2,ch02,dv7,105
2026-06-01,ct3,ch02,dv7,106
2026-07-01,ct4,ch02,dv7,100
2026-06-01,ct0,ch03,dv0,101
2026-07-01,ct1,ch03,dv0,102
2026-06-01,ct2,ch03,dv0,103
2026-07-01,ct3,ch03,dv0,104
2026-06-01,ct4,ch03,dv0,105
2026-07-01,ct0,ch03,dv1,106
2026-06-01,ct1,ch03,dv1,100
2026-07-01,ct2,ch03,dv1,101
2026-06-01,ct3,ch03,dv1,102
2026-07-01,ct4,ch03,dv1,103
2026-06-01,ct0,ch03,dv2,104
2026-07-01,ct1,ch03,dv2,105
2026-06-01,ct2,ch03,dv2,106
2026-07-01,ct3,ch03,dv2,100
2026-06-01,ct4,ch03,dv2,101
2026-07-01,ct0,ch03,dv3,102
2026-06-01,ct1,ch03,dv3,103
2026-07-01,ct2,ch03,dv3,104
2026-06-01,ct3,ch03,dv3,105
2026-07-01,ct4,ch03,dv3,106
2026-06-01,ct0,ch03,dv4,100
2026-07-01,ct1,ch03,dv4,101
2026-06-01,ct2,ch03,dv4,102
2026-07-01,ct3,ch03,dv4,103
2026-06-01,ct4,ch03,dv4,104
2026-07-01,ct0,ch03,dv5,105
2026-06-01,ct1,ch03,dv5,106
2026-07-01,ct2,ch03,dv5,100
2026-06-01,ct3,ch03,dv5,101
2026-07-01,ct4,ch03,dv5,102
2026-06-01,ct0,ch03,dv6,103
2026-07-01,ct1,ch03,dv6,104
2026-06-01,ct2,ch03,dv6,105
2026-07-01,ct3,ch03,dv6,106
2026-06-01,ct4,ch03,dv6,100
2026-07-01,ct0,ch03,dv7,101
2026-06-01,ct1,ch03,dv7,102
2026-07-01,ct2,ch03,dv7,103
2026-06-01,ct3,ch03,dv7,104
2026-07-01,ct4,ch03,dv7,105
2026-06-01,ct0,ch04,dv0,106
2026-07-01,ct1,ch04,dv0,100
2026-06-01,ct2,ch04,dv0,101
2026-07-01,ct3,ch04,dv0,102
2026-06-01,ct4,ch04,dv0,103
2026-07-01,ct0,ch04,dv1,104
2026-06-01,ct1,ch04,dv1,105
2026-07-01,ct2,ch04,dv1,106
2026-06-01,ct3,ch04,dv1,100
2026-07-01,ct4,ch04,dv1,101
2026-06-01,ct0,ch04,dv2,102
2026-07-01,ct1,ch04,dv2,103
2026-06-01,ct2,ch04,dv2,104
2026-07-01,ct3,ch04,dv2,105
